Date,G7 Monthly Composite Leading Indicators (MEI) Amplitude adjusted,OECD Total Monthly Composite Leading Indicators (MEI) Amplitude adjusted,Monthly Business Tendency and Consumer Opinion Surveys (MEI),"Civilian Unemployment Rate, Percent, Monthly, Seasonally Adjusted","Consumer Price Index for All Urban Consumers: All Items, Index 1982-1984=100, Monthly, Seasonally Adjusted",Adj Close of CBOE Volatility Index from Yahoo Finance
Mar-2018,100.43,100.42,9.00,4.00,249.50,19.97
Apr-2018,100.38,100.33,6.00,3.90,249.96,15.93
May-2018,100.32,100.22,8.00,3.80,250.65,15.43
Jun-2018,100.25,100.11,7.00,4.00,251.13,16.09
Jul-2018,100.17,99.99,-2.00,3.90,251.60,12.83
Aug-2018,100.07,99.86,6.00,3.80,251.88,12.86
Sep-2018,99.93,99.71,10.00,3.70,252.01,12.12
Oct-2018,99.77,99.56,3.00,3.80,252.79,21.23
Nov-2018,99.58,99.42,2.00,3.70,252.76,18.07
Dec-2018,99.39,99.29,2.00,3.90,252.72,25.42
Jan-2019,99.23,99.18,-8.00,4.00,252.67,16.57
Feb-2019,99.09,99.10,-1.00,3.80,253.11,14.78
,,,,,,
